,name,team,completed_passes,attempted_passes,passing_yards,passing_touchdowns,interceptions_thrown,times_sacked,yards_lost_from_sacks,longest_pass,quarterback_rating,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,interceptions,yards_returned_from_interception,interceptions_returned_for_touchdown,longest_interception_return,passes_defended,sacks,combined_tackles,solo_tackles,assists_on_tackles,tackles_for_loss,quarterback_hits,fumbles_recovered,yards_recovered_from_fumble,fumbles_recovered_for_touchdown,fumbles_forced,kickoff_returns,kickoff_return_yards,average_kickoff_return_yards,kickoff_return_touchdown,longest_kickoff_return,punt_returns,punt_return_yards,yards_per_punt_return,punt_return_touchdown,longest_punt_return,extra_points_made,extra_points_attempted,field_goals_made,field_goals_attempted,punts,total_punt_yards,yards_per_punt,longest_punt,season
FostDe00,DeShaun Foster,car,0,0,0,0,0,,,0,,3,43,1,33,2,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
MuhaMu00,Muhsin Muhammad,car,0,0,0,0,0,,,0,,0,0,0,0,10,4,140,1,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
ProeRi00,Ricky Proehl,car,0,0,0,0,0,,,0,,0,0,0,0,5,4,71,1,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
WiggJe00,Jermaine Wiggins,car,0,0,0,0,0,,0,0,,0,0,0,0,2,2,21,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
MangKr00,Kris Mangum,car,0,0,0,0,0,,,0,,0,0,0,0,3,1,2,0,2,0,,,,,,,,,,,,,,,,,1,12,12.0,0,12,0,0,,0,0,,,,,,,,,2003.0
HoovBr00,Brad Hoover,car,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
HowaRe21,Reggie Howard,car,,,,,,,,,,,,,,,,,,,,,1,12,0,12,1,0.0,6,6,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
MorgDa99,Dan Morgan,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,18,11,7,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
MintMi21,Mike Minter,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,14,9,5,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
WithWi20,Will Witherspoon,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,13,7,6,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
MannRi20,Ricky Manning,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,6,4,2,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
GranDe21,Deon Grant,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,5,3,2,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
BuckBr20,Brentson Buckner,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,3,1,2,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
FavoGr20,Greg Favors,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,3,3,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
JenkKr00,Kris Jenkins,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,3,3,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
PeppJu99,Julius Peppers,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,2,2,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
RuckMi20,Mike Rucker,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,2,1,1,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
SaueTo20,Todd Sauerbrun,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,,,,,,,,,,,,,,,7,310,44.3,51,2003.0
SmarRo00,Rod Smart,car,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,4,74,18.5,0,22,0,0,,0,0,,,,,,,,,2003.0
CousTe20,Terry Cousin,car,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,7,3,4,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
WallAl20,Al Wallace,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,6,3,3,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
BurtSh20,Shane Burton,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,5,3,2,1,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
CoopJa20,Jarrod Cooper,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3,1,2,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
AlleBr21,Brian Allen,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
BranCo20,Colin Branch,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
CiurVi20,Vinny Ciurciu,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,0,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
HankKa00,Karl Hankton,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
RasmKe20,Kemp Rasmussen,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
WeslDa20,Dante Wesley,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,0,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
WillMa27,Matt Willig,car,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,0,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
kasayjoh01,John Kasay,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0,0,,0,2003.0
BradTo00,Tom Brady,nwe,32,48,354,3,1,0,0,52,100.5,2,12,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
SmitAn00,Antowain Smith,nwe,0,0,0,0,0,,,0,,26,83,1,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
FaulKe00,Kevin Faulk,nwe,0,0,0,0,0,,,0,,6,42,0,23,4,4,19,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
BranDe00,Deion Branch,nwe,0,0,0,0,0,,,0,,0,0,0,0,13,10,143,1,52,0,,,,,,,,,,,,,,,,,0,0,,0,0,1,2,2.0,0,2,,,,,,,,,2003.0
GiveDa00,David Givens,nwe,0,0,0,0,0,,,0,,0,0,0,0,11,5,69,1,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
GrahDa00,Daniel Graham,nwe,0,0,0,0,0,,,0,,0,0,0,0,4,4,46,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
VrabMi20,Mike Vrabel,nwe,0,0,0,0,0,,,0,,0,0,0,0,1,1,1,1,1,0,,0,0,0,0,0,2.0,6,4,2,1,,0,0,0,1,,,,,,,,,,,,,,,,,,,2003.0
JohnBe00,Bethel Johnson,nwe,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,4,78,19.5,0,29,0,0,,0,0,,,,,,,,,2003.0
CentLa00,Larry Centers,nwe,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
BrowTr00,Troy Brown,nwe,0,0,0,0,0,,,0,,1,-10,0,-10,10,8,76,0,13,1,0,0,0,0,0,0,0.0,,,,,,1,0,0,0,0,0,,0,0,4,40,10.0,0,28,,,,,,,,,2003.0
FaurCh00,Christian Fauria,nwe,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
WardDe00,Dedric Ward,nwe,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0
HarrRo01,Rodney Harrison,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1.0,9,8,1,2,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
McGiWi00,Willie McGinest,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1.0,4,1,3,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
LawxTy00,Ty Law,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,5,5,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
PhifRo20,Roman Phifer,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,5,4,1,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
BrusTe99,Tedy Bruschi,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,4,2,2,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
HamiBo20,Bobby Hamilton,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,4,3,1,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
PoolTy20,Tyrone Poole,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,3,1,2,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
SeymRi00,Richard Seymour,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,2,2,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
vinatada01,Adam Vinatieri,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,,,,,,,,,,,3,3,1,3,0,0,,0,2003.0
WashTe01,Ted Washington,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
WilsEu20,Eugene Wilson,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0.0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2003.0
ChatMa20,Matt Chatham,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2,2,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
AkinCh20,Chris Akins,nwe,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
CherJe20,Je'Rod Cherry,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
IzzoLa00,Larry Izzo,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
MayeSh20,Shawn Mayer,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
GreeJa21,Jarvis Green,nwe,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,0,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
WarrTy20,Ty Warren,nwe,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,0,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2003.0
WaltKe20,Ken Walter,nwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,173,34.6,51,2003.0
BradTo00,Tom Brady,nwe,16,27,145,1,0,1,7,23,86.2,1,3,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
FaulKe00,Kevin Faulk,nwe,0,0,0,0,0,1,4,0,,2,15,0,8,2,1,-1,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
SmitAn00,Antowain Smith,nwe,0,0,0,0,0,,,0,,18,92,0,17,1,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
PattDa00,David Patten,nwe,0,0,0,0,0,,,0,,1,22,0,22,4,1,8,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
EdwaMa00,Marc Edwards,nwe,0,0,0,0,0,,,0,,2,5,0,3,2,2,7,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
BrowTr00,Troy Brown,nwe,0,0,0,0,0,,,0,,0,0,0,0,6,6,89,0,23,0,,,,,,,,,,,,,,,,,1,15,15.0,0,15,1,4,4.0,0,4,,,,,,,,,2001.0
WiggJe00,Jermaine Wiggins,nwe,0,0,0,0,0,,0,0,,0,0,0,0,4,2,14,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
PassPa00,Patrick Pass,nwe,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0.0,1,0,1,0,,0,0,0,0,3,85,28.3,0,35,0,0,,0,0,,,,,,,,,2001.0
RedmJ.00,J.R. Redmond,nwe,0,0,0,0,0,,,0,,1,-4,0,-4,3,3,24,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
LawxTy00,Ty Law,nwe,,,,,,,,,,,,,,,,,,,,,1,47,1,47,1,0.0,7,7,0,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
SmitOt20,Otis Smith,nwe,,,,,,,,,,,,,,,,,,,,,1,30,0,30,0,0.0,7,6,1,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
McGiWi00,Willie McGinest,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1.0,6,5,1,3,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
HamiBo20,Bobby Hamilton,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,3,0,3,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
SeymRi00,Richard Seymour,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,3,3,0,2,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
PhifRo20,Roman Phifer,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,6,2,4,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
JoneTe20,Tebucky Jones,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,4,3,1,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
VrabMi20,Mike Vrabel,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,4,3,1,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
BrusTe99,Tedy Bruschi,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,3,2,1,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
MillLa00,Lawyer Milloy,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,3,3,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
PleaAn20,Anthony Pleasant,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,3,3,0,2,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
WaltKe20,Ken Walter,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,,,,,,,,,,,,,,,8,345,43.1,53,2001.0
BuckTe20,Terrell Buckley,nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,0,0,0,0,,0,15,15,0,,,,,,,,,,,,,,,,,,,2001.0
JohnTe20,Ted Johnson,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3,1,2,1,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
HarrAn21,Antwan Harris,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2,2,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
ShawTe20,Terrance Shaw,nwe,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,2,2,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
StevMa22,Matt Stevens,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2,1,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
ChatMa20,Matt Chatham,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
CherJe20,Je'Rod Cherry,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
ColeFr00,Fred Coleman,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
CoxxBr00,Bryan Cox,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
IzzoLa00,Larry Izzo,nwe,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,0,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
vinatada01,Adam Vinatieri,nwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,,0,2001.0
WarnKu00,Kurt Warner,ram,28,44,365,1,2,3,28,30,78.3,3,6,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
FaulMa00,Marshall Faulk,ram,0,0,0,0,0,,,0,,17,76,0,15,4,4,54,0,18,0,,,,,,,,,,,,,,,,,1,1,1.0,0,1,0,0,,0,0,,,,,,,,,2001.0
HakiAz00,Az-Zahir Hakim,ram,0,0,0,0,0,,,0,,1,5,0,5,8,5,90,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
HodgJa00,James Hodgins,ram,0,0,0,0,0,,,0,,1,3,0,3,1,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
ProeRi00,Ricky Proehl,ram,0,0,0,0,0,,,0,,0,0,0,0,5,3,71,1,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
BrucIs00,Isaac Bruce,ram,0,0,0,0,0,,,0,,0,0,0,0,7,5,56,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
HoltTo00,Torry Holt,ram,0,0,0,0,0,,,0,,0,0,0,0,12,5,49,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
RobiJe00,Jeff Robinson,ram,0,0,0,0,0,,,0,,0,0,0,0,2,2,18,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
MurpYo00,Yo Murphy,ram,0,0,0,0,0,,,0,,0,0,0,0,1,1,11,0,11,0,,,,,,,,,,,,,,,,,3,81,27.0,0,38,0,0,,0,0,,,,,,,,,2001.0
ConwEr00,Ernie Conwell,ram,0,0,0,0,0,,,0,,0,0,0,0,3,2,8,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
WistGr20,Grant Wistrom,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,4,3,1,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
LittLe00,Leonard Little,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,2,2,0,1,,0,0,0,1,,,,,,,,,,,,,,,,,,,2001.0
PollTo21,Tommy Polley,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,11,7,4,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
WillAe00,Aeneas Williams,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0.0,8,7,1,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
McClDe21,Dexter McCleon,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,5,5,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
ArchAd20,Adam Archuleta,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,4,4,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
HerrKi20,Kim Herring,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,3,3,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
ZgonJe20,Jeff Zgonina,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,3,3,0,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
BlyxDr00,Dre' Bly,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,2,2,0,0,,0,0,0,0,0,0,,0,0,3,6,2.0,0,7,,,,,,,,,2001.0
FletLo20,London Fletcher,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,2,2,0,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
YounBr20,Brian Young,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,2,2,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
AhanCh20,Chidi Ahanotu,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0,1,1,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
DaviDo22,Don Davis,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,1,1,0,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,2001.0
wilkijef01,Jeff Wilkins,ram,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0,,,,,,,,,,,2,2,1,2,0,0,,0,2001.0
CaniTr00,Trung Canidate,ram,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3,3,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
MoraSe20,Sean Moran,ram,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2,1,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
BrigO.20,O.J. Brigance,ram,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
FielMa99,Mark Fields,ram,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
PickRy20,Ryan Pickett,ram,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,0,1,0,,0,,,0,,,,,,,,,,,,,,,,,,,2001.0
SoreNi20,Nick Sorensen,ram,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0,0,,1,,,0,,,,,,,,,,,,,,,,,,,2001.0
BakeJo21,John Baker,ram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,159,39.8,49,2001.0
